set,reel,position,symbol
free,3,5,CROWN
free,3,6,TEN
free,3,7,J
free,3,8,Q
free,3,9,K
free,3,10,WILD
free,3,11,A
free,3,12,SWORD
free,3,13,CHALICE
free,3,14,RING
free,3,15,CROWN
free,3,16,TEN
free,3,17,J
free,3,18,Q
free,3,19,K
free,3,20,WILD
free,3,21,A
free,3,22,SWORD
free,3,23,CHALICE
free,3,24,RING
free,3,25,TEN
free,3,26,J
free,3,27,Q
free,3,28,K
free,3,29,A
free,3,30,WILD
free,3,31,SWORD
free,3,32,TEN
free,3,33,J
free,3,34,Q
free,3,35,K
free,3,36,A
free,3,37,TEN
free,3,38,J
free,3,39,Q
free,4,0,SCATTER
free,4,1,WILD
free,4,2,SWORD
free,4,3,CHALICE
free,4,4,RING
free,4,5,CROWN
free,4,6,TEN
free,4,7,J
free,4,8,Q
free,4,9,K
free,4,10,WILD
free,4,11,A
free,4,12,SWORD
free,4,13,CHALICE
free,4,14,RING
free,4,15,CROWN
free,4,16,TEN
free,4,17,J
free,4,18,Q
free,4,19,K
free,4,20,WILD
free,4,21,A
free,4,22,SWORD
free,4,23,CHALICE
free,4,24,RING
free,4,25,TEN
free,4,26,J
free,4,27,Q
free,4,28,K
free,4,29,A
free,4,30,WILD
free,4,31,SWORD
free,4,32,TEN
free,4,33,J
free,4,34,Q
free,4,35,K
free,4,36,A
free,4,37,TEN
free,4,38,J
free,4,39,Q
free,5,0,SCATTER
free,5,1,SWORD
free,5,2,CHALICE
free,5,3,RING
free,5,4,CROWN
free,5,5,TEN
free,5,6,J
free,5,7,Q
free,5,8,K
free,5,9,A
free,5,10,SWORD
free,5,11,CHALICE
free,5,12,RING
free,5,13,CROWN
free,5,14,TEN
free,5,15,J
free,5,16,Q
free,5,17,K
free,5,18,A
free,5,19,SWORD
free,5,20,CHALICE
free,5,21,RING
free,5,22,TEN
free,5,23,J
free,5,24,Q
free,5,25,K
free,5,26,A
free,5,27,SWORD
free,5,28,TEN
free,5,29,J
free,5,30,Q
free,5,31,K
free,5,32,A
free,5,33,TEN
free,5,34,J
free,5,35,Q
free,5,36,K
free,5,37,A
free,5,38,TEN
free,5,39,J
